Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,236190.47619047618,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,250952.38095238095,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619048,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,265714.2857142857,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619038,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,280476.1904761904,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619038,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,295238.09523809515,Jobs,High School - No Training,# of New Jobs,0.0346,510.7619047619038,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,310000,Jobs,High School - No Training,# of New Jobs,0.0346,510.76190476190783,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2025,238.0952380952381,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2026,476.1904761904762,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2027,714.2857142857143,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904763,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2028,952.3809523809524,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2029,1190.4761904761906,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904764,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2030,1428.5714285714287,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2031,1666.6666666666667,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2032,1904.7619047619048,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2033,2142.857142857143,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904766,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2034,2380.952380952381,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2035,2619.0476190476193,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2036,2857.1428571428573,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2037,3095.2380952380954,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2038,3333.3333333333335,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2039,3571.4285714285716,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2040,3809.5238095238096,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2041,4047.6190476190477,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904762,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2042,4285.714285714286,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904771,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2043,4523.809523809525,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904771,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2044,4761.904761904763,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904771,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2045,5000,Jobs,Bachelors - No or Some Training,# of New Jobs,0.02,4.761904761904734,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2025,238.0952380952381,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761904,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2026,476.1904761904762,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761904,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2027,714.2857142857143,Jobs,Graduate Degree,# of New Jobs,0.00113,0.2690476190476191,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2028,952.3809523809524,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2029,1190.4761904761906,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761915,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
