Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value,portfolio
Solar,PV,Electricity,Megawatts,MW,2044,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2045,13300,Land,Land Consumed,Low,acres,2.8,37240,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,17590.909090909092,Land,Land Consumed,Low,acres,0.05464,961.1672727272728,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,35181.818181818184,Land,Land Consumed,Low,acres,0.05464,1922.3345454545456,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,52772.72727272728,Land,Land Consumed,Low,acres,0.05464,2883.5018181818186,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,70363.63636363637,Land,Land Consumed,Low,acres,0.05464,3844.669090909091,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,87954.54545454546,Land,Land Consumed,Low,acres,0.05464,4805.836363636364,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,105545.45454545454,Land,Land Consumed,Low,acres,0.05464,5767.003636363636,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,123136.36363636363,Land,Land Consumed,Low,acres,0.05464,6728.170909090909,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,140727.27272727274,Land,Land Consumed,Low,acres,0.05464,7689.338181818182,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,158318.18181818182,Land,Land Consumed,Low,acres,0.05464,8650.505454545455,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,175909.0909090909,Land,Land Consumed,Low,acres,0.05464,9611.672727272728,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
