Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit,portfolio
Wind,Wind turbine,Electricity,Megawatts,MW,2025,24.54545455,3599.822568,MJ per MWh,Effective MWh per MW,2502.80869,221146376.9,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142,221146376.9,8848157524,0.008848158,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2026,49.09090909,3599.822568,MJ per MWh,Effective MWh per MW,2482.767125,438751037.3,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.83704132,438751037.3,17039792161,0.017039792,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2027,73.63636364,3599.822568,MJ per MWh,Effective MWh per MW,2462.725561,652813981.1,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367121,652813981.1,24587371144,0.024587371,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2028,98.18181818,3599.822568,MJ per MWh,Effective MWh per MW,2442.683996,863335208.5,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.4903011,863335208.5,31503361706,0.031503362,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2029,122.7272727,3599.822568,MJ per MWh,Effective MWh per MW,2422.642431,1070314719,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693099,1070314719,37800231080,0.037800231,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2030,147.2727273,3599.822568,MJ per MWh,Effective MWh per MW,2402.600867,1273752514,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356088,1273752514,43490446498,0.043490446,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2031,171.8181818,3599.822568,MJ per MWh,Effective MWh per MW,2382.559302,1473648592,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019077,1473648592,48586475193,0.048586475,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2032,196.3636364,3599.822568,MJ per MWh,Effective MWh per MW,2362.517737,1670002953,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682066,1670002953,53100784399,0.053100784,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2033,220.9090909,3599.822568,MJ per MWh,Effective MWh per MW,2342.476173,1862815598,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.62345055,1862815598,57045841348,0.057045841,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2034,245.4545455,3599.822568,MJ per MWh,Effective MWh per MW,2322.434608,2052086526,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044,2052086526,60434113273,0.060434113,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2035,270,3599.822568,MJ per MWh,Effective MWh per MW,2302.393043,2237815738,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.27671033,2237815738,63278067406,0.063278067,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2036,270,3599.822568,MJ per MWh,Effective MWh per MW,2282.351479,2218336298,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022,2218336298,60124323399,0.060124323,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2037,270,3599.822568,MJ per MWh,Effective MWh per MW,2262.309914,2198856857,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011,2198856857,57016292579,0.057016293,million MT CO2e,Portfolio - Current Projects 1.29.2024
